"Designator", "Val", "Package", "Mid X", "Mid Y", "Rotation", "Layer"
"C1","1uF","C_0805_2012Metric",-8.699500,0.190500,90.000000,top,
"C2","1uF","C_0805_2012Metric",0.330200,-17.272000,0.000000,top,
"C3","1uF","C_0805_2012Metric",8.636000,0.000000,270.000000,top,
"C4","1uF","C_0805_2012Metric",0.000000,17.018000,0.000000,top,
"C5","0.1uF","C_0402_1005Metric",-19.951700,-17.970500,90.000000,top,
"C6","0.1uF","C_0402_1005Metric",-21.666200,-17.970500,90.000000,top,
"C7","0.01uF","C_0402_1005Metric",18.316872,33.056502,0.000000,top,
"C8","0.01uF","C_0402_1005Metric",18.316872,31.596002,0.000000,top,
"C9","0.1uF","C_0402_1005Metric",12.674600,-13.406171,270.000000,top,
"C10","1uF","C_0805_2012Metric",16.586200,28.351429,0.000000,top,
"C11","0.1uF","C_0402_1005Metric",-18.300700,-17.970500,90.000000,top,
"C12","0.1uF","C_0402_1005Metric",6.324600,18.953429,180.000000,top,
"C13","0.1uF","C_0402_1005Metric",18.316872,30.135502,0.000000,top,
"D1","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",0.012363,12.987530,90.000000,top,
"D2","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",4.979746,11.971609,67.500000,top,
"D3","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",9.180209,9.138636,45.000000,top,
"D4","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",11.977622,4.920393,22.500000,top,
"D5","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",12.947823,-0.049530,0.000000,top,
"D6","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",11.939522,-5.014373,337.500000,top,
"D7","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",9.101469,-9.222456,315.000000,top,
"D8","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",4.883226,-12.017329,292.500000,top,
"D9","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",-0.091777,-12.987530,270.000000,top,
"D10","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",-5.059160,-11.976689,247.500000,top,
"D11","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",-9.259623,-9.138636,225.000000,top,
"D12","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",-12.057036,-4.920393,202.500000,top,
"D13","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",-13.027237,0.052070,180.000000,top,
"D14","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",-12.016396,5.019453,157.500000,top,
"D15","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",-9.185963,9.222456,135.000000,top,
"D16","WS2812B","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",-4.960100,12.019869,112.500000,top,
"R1","10K","R_0402_1005Metric",-19.951700,-22.034500,90.000000,top,
"R2","10K","R_0402_1005Metric",-21.666200,-22.034500,90.000000,top,
"R3","10K","R_0402_1005Metric",14.252872,33.056502,0.000000,top,
"R4","10K","R_0402_1005Metric",14.252872,31.596002,0.000000,top,
"R5","10K","R_0402_1005Metric",-19.951700,-20.002500,90.000000,top,
"R6","10K","R_0402_1005Metric",-21.666200,-20.002500,270.000000,top,
"R7","10K","R_0402_1005Metric",16.284872,33.056502,0.000000,top,
"R8","10K","R_0402_1005Metric",16.284872,31.596002,180.000000,top,
"R9","10K","R_0402_1005Metric",-18.300700,-22.034500,90.000000,top,
"R10","10K","R_0402_1005Metric",-18.300700,-20.002500,270.000000,top,
"R11","10K","R_0402_1005Metric",14.252872,30.135502,0.000000,top,
"R12","10K","R_0402_1005Metric",16.284872,30.135502,180.000000,top,
"R13","10K","R_0402_1005Metric",11.531600,-13.406171,90.000000,top,
"R14","10K","R_0402_1005Metric",6.324600,20.121829,0.000000,top,
"U1","74HC14","SOIC-14_3.9x8.7mm_P1.27mm",16.606187,22.482815,270.000000,top,
