Designator,Mid X,Mid Y,Rotation,Layer
C1,185.734863,-80.371899,0.000000,top
C2,209.356863,-80.371899,180.000000,top
D1,197.802163,-85.959899,90.000000,top
D2,202.386863,-86.899699,67.500000,top
D3,206.262903,-89.515899,45.000000,top
D4,208.843543,-93.409719,22.500000,top
D5,209.737623,-97.996959,0.000000,top
D6,208.805443,-102.579119,337.500000,top
D7,206.184163,-106.462779,315.000000,top
D8,202.290343,-109.040879,292.500000,top
D9,197.698023,-109.934959,270.000000,top
D10,193.113323,-109.000239,247.500000,top
D11,189.237283,-106.378959,225.000000,top
D12,186.656643,-102.485139,202.500000,top
D13,185.762563,-97.895359,180.000000,top
D14,186.697283,-93.310659,157.500000,top
D15,189.310943,-89.432079,135.000000,top
D16,193.212383,-86.851439,112.500000,top
R1,185.734863,-68.680279,0.000000,top
R2,185.734863,-71.018603,0.000000,top
R3,185.734863,-73.356927,0.000000,top
R4,185.734863,-75.695251,0.000000,top
R5,185.734863,-78.033575,0.000000,top
R6,209.305823,-68.680279,0.000000,top
R7,209.305823,-71.031684,0.000000,top
R8,209.305823,-73.383089,0.000000,top
R9,209.305823,-75.734494,0.000000,top
R10,209.336303,-78.085899,0.000000,top
